"Id";"Situação";"Tarefa";"Tags";"Workspace";"Criada por";"Criada em";"Canal";"Etapa";"Executor";"Quantidade de peças";"Quantidade de formulários";"Iniciar etapa em";"Executar etapa até";"Concluir tarefa até";"Esforço";"Última resposta";"Prioridade";"Origem"
"8025047";"Ativa";"Configuração de mídias e plataformas (setup)";"react";"Teste";"Nicolly Munhoz Eising";"31/12/2025";"";"Análise";"Nicolly Munhoz Eising";"0";"0";"";"31/12/2025";"09/01/2026";"02:00";"";"Alta (75)";""
"8025041";"Concluída";"Análise";"";"Teste";"Nicolly Munhoz Eising";"31/12/2025";"";"Análise";"Nicolly Munhoz Eising";"0";"0";"";"31/12/2025";"31/01/2026";"13:00";"";"Alta (70)";""
"8025097";"Ativa";"Desenvolvimento de software";"";"Teste";"Nicolly Munhoz Eising";"31/12/2025";"";"Análise";"Nicolly Munhoz Eising";"0";"0";"";"31/12/2025";"31/03/2026";"40:00";"";"Alta (70)";""
"8025099";"Ativa";"Manutenção de software";"";"Teste";"Nicolly Munhoz Eising";"31/12/2025";"";"Análise";"Nicolly Munhoz Eising";"0";"0";"";"31/12/2025";"31/12/2025";"10:00";"";"";""
"8025052";"Ativa";"Criação de conteúdo (texto, artigo, vídeo, ebook, release)";"";"Teste";"Nicolly Munhoz Eising";"31/12/2025";"";"Análise";"Nicolly Munhoz Eising";"0";"0";"";"31/12/2025";"28/02/2026";"04:00";"";"";""
"8025102";"Ativa";"Participação em reunião ou evento";"";"Teste";"Nicolly Munhoz Eising";"31/12/2025";"";"Análise";"Nicolly Munhoz Eising";"0";"0";"";"31/12/2025";"31/03/2026";"02:00";"";"";""
"8025050";"Ativa";"Criação de imagem ( arte, banner, impresso)";"";"Teste";"Nicolly Munhoz Eising";"31/12/2025";"";"Briefing";"Nicolly Munhoz Eising";"0";"0";"";"31/12/2025";"07/01/2026";"02:00";"";"";""
"8025046";"Concluída";"Briefing";"";"Teste";"Nicolly Munhoz Eising";"31/12/2025";"";"Briefing";"Nicolly Munhoz Eising";"0";"0";"";"31/12/2025";"15/01/2026";"02:00";"";"";""
"8025103";"Ativa";"Planejamento de automação";"";"Teste";"Nicolly Munhoz Eising";"31/12/2025";"";"Briefing";"Nicolly Munhoz Eising";"0";"0";"";"31/12/2025";"17/01/2026";"16:00";"";"";""
"8030987";"Concluída";"Briefing";"";"Teste";"Nicolly Munhoz Eising";"02/01/2026";"";"Briefing";"Nicolly Munhoz Eising";"3";"0";"02/01/2026";"02/01/2026";"02/01/2026";"01:00";"";"Alta (60)";""
"8031024";"Ativa";"Criação de marca e identidade visual";"";"Teste";"Nicolly Munhoz Eising";"02/01/2026";"";"Briefing";"Nicolly Munhoz Eising";"1";"0";"";"10/01/2026";"27/01/2026";"12:00";"";"Média (35)";"Projeto: teste"
"8031041";"Ativa";"Divulgação";"";"Teste";"Nicolly Munhoz Eising";"02/01/2026";"";"Divulgação";"Nicolly Munhoz Eising";"0";"0";"";"02/01/2026";"29/01/2026";"06:00";"";"Alta (65)";"Projeto: teste"
"8025044";"Ativa";"Conceito";"";"Teste";"Nicolly Munhoz Eising";"31/12/2025";"";"Planejamento";"Nicolly Munhoz Eising";"0";"0";"";"31/12/2025";"10/01/2026";"01:00";"";"Média (30)";""
"8025101";"Concluída";"Planejamento";"";"Teste";"Nicolly Munhoz Eising";"31/12/2025";"";"Planejamento";"Nicolly Munhoz Eising";"0";"0";"";"31/12/2025";"06/01/2026";"03:00";"";"Baixa (25)";""
"8025057";"Concluída";"Configuração";"";"Teste";"Nicolly Munhoz Eising";"31/12/2025";"";"Planejamento";"Nicolly Munhoz Eising";"0";"0";"";"31/12/2025";"31/12/2025";"01:00";"";"";""
"8025049";"Ativa";"Construção";"";"Teste";"Nicolly Munhoz Eising";"31/12/2025";"";"Planejamento";"Nicolly Munhoz Eising";"0";"0";"";"13/02/2026";"20/02/2026";"01:00";"";"Urgente (95)";""
"8025098";"Ativa";"Homologação construção (testes, validação)";"";"Teste";"Nicolly Munhoz Eising";"31/12/2025";"";"Revisão (Construção)";"Nicolly Munhoz Eising";"0";"0";"";"31/12/2025";"31/03/2026";"01:00";"";"";""
